kanjireading,rank,weight
習[しゅう],620,1521.358165123343
越[こ],621,1523.688714904687
白[はく],622,1525.194878892703
東[とう],623,1539.811672637383
処[しょ],624,1541.952571835053
球[きゅう],625,1543.561782653750
生[しょう],626,1547.059904428105
射[しゃ],627,1548.809140902763
危[き],628,1548.874125912615
月[げつ],629,1549.704231958223
吹[ふ],630,1550.373941360840
側[がわ],631,1553.673615410032
素[そ],632,1557.261508460814
文[もん],633,1561.488549671990
決[けつ],634,1563.584828119039
足[た],635,1565.097765094283
素[す],636,1565.493713027684
集[あつ],637,1566.069361718915
立[りつ],638,1566.283726284486
土[ど],639,1567.312105301267
代[か],640,1568.020499179407
奥[おく],641,1568.870500144850
総[そう],642,1570.685474002914
御[ご],643,1572.829004373996
製[せい],644,1573.181182522154
世[よ],645,1575.692597067696
割[わ],646,1576.003139986693
週[しゅう],647,1583.928959343485
背[せ],648,1585.454231693036
禁[きん],649,1588.999724482945
存[ぞん],650,1590.656001068060
演[えん],651,1591.165493939393
任[まか],652,1599.218078942473
試[し],653,1603.916636950366
察[さつ],654,1609.117391886516
探[さが],655,1617.820337446983
破[は],656,1619.372589901024
遅[おそ],657,1619.844692007706
小[ちい],658,1626.421761910252
走[はし],659,1626.763629977646
鳴[な],660,1627.069651132198
使[し],661,1627.229950234024
夜[よる],662,1628.312657597529
火[ひ],663,1631.605226259317
待[たい],664,1634.922606837105
突[とつ],665,1641.466259985137
独[どく],666,1643.954929577714
行[ぎょう],667,1645.451691802330
替[か],668,1648.757226362577
薬[やく],669,1655.566902669789
根[ね],670,1656.780457641964
象[しょう],671,1660.315599497687
帯[たい],672,1664.069869518741
味[あじ],673,1664.241262252158
爆[ばく],674,1664.258360978286
材[ざい],675,1664.659363071868
開[あ],676,1665.806142557429
例[れい],677,1669.321540731015
奇[き],678,1671.608325761061
送[そう],679,1671.835223632356
消[しょう],680,1675.155126256597
基[き],681,1675.312472242370
散[さん],682,1679.548227657402
恋[こい],683,1680.471841987489
級[きゅう],684,1681.383628201960
倒[たお],685,1682.708231448927
眠[ねむ],686,1689.505434397169
種[しゅ],687,1691.316127362269
勢[せい],688,1691.466935965315
胸[むね],689,1692.084772680181
暴[ぼう],690,1692.471049823105
写[しゃ],691,1695.245461699136
頃[ころ],692,1699.786930358594
向[こう],693,1700.176791684629
恐[おそ],694,1704.383658514841
効[こう],695,1706.677935383983
次[じ],696,1707.947298201658
五[ご],697,1708.986869741525
角[かく],698,1715.154228064304
木[き],699,1716.554868940417
絡[らく],700,1720.860602448939
図[ず],701,1723.854222002021
毒[どく],702,1730.596782400093
深[ふか],703,1730.795826157438
駄[だ],704,1734.670332460139
数[かず],705,1735.615936150279
症[しょう],706,1737.343544723781
２[ふた],707,1738.982076594018
久[ひさ],708,1749.353485012990
組[く],709,1750.035786107100
薄[うす],710,1751.025264247434
簡[かん],711,1752.126365113374
武[ぶ],712,1757.310653287965
外[そと],713,1759.778885019860
顔[がお],714,1764.305167298263
古[こ],715,1769.777915768306
嫌[きら],716,1771.915159704496
苦[くる],717,1782.747343094446
日[び],718,1784.472989283419
喜[よろこ],719,1789.061413688555
鼻[はな],720,1790.579244158049
派[は],721,1791.226296641048
練[れん],722,1791.289349567783
休[きゅう],723,1792.206675713096
重[おも],724,1794.983946444527
末[まつ],725,1795.941426335708
血[けつ],726,1795.954955738638
口[こう],727,1798.246254241444
失[しっ],728,1799.515822224230
神[かみ],729,1799.726354854394
限[かぎ],730,1800.304573563045
脳[のう],731,1804.224134990917
売[ばい],732,1804.316136791589
払[はら],733,1805.654448522602
１[いっ],734,1807.134674137534
了[りょう],735,1809.935247066422
責[せき],736,1811.975417261846
慢[まん],737,1813.964111451939
協[きょう],738,1815.807288295018
男[だん],739,1817.311404733947
３[さん],740,1819.982008471099
風[かぜ],741,1823.779274839854
店[みせ],742,1824.689108817272
下[げ],743,1829.636804904214
接[せつ],744,1832.883622234319
生[なま],745,1834.691837811618
欲[ほ],746,1836.876070891005
答[こた],747,1845.139343489040
娘[むすめ],748,1845.408483851588
円[えん],749,1850.806238854425
瞬[しゅん],750,1855.078531414930
適[てき],751,1855.764478889921
明日[あした],752,1856.278261519496
順[じゅん],753,1857.657950657747
超[ちょう],754,1858.547519283133
達[だち],755,1860.225323185910
策[さく],756,1865.542446601974
低[てい],757,1867.769217905680
令[れい],758,1872.588961295822
明[あ],759,1872.810529098458
縁[えん],760,1873.716860655039
興[きょう],761,1876.392199009437
肩[かた],762,1878.349925430419
営[えい],763,1884.812149622542
市[し],764,1885.272113794283
貴[き],765,1885.754905431768
黙[だま],766,1893.773883703596
迷[めい],767,1898.257335024242
他[た],768,1900.173348965427
石[せき],769,1900.618178158361
青[あお],770,1900.878615616776
新[あたら],771,1901.866081611117
父[とう],772,1902.327663052473
根[こん],773,1902.707115654287
夜[よ],774,1902.797637004644
投[とう],775,1903.286463758045
芸[げい],776,1905.712114586813
育[いく],777,1905.797355243035
激[げき],778,1905.975956219012
系[けい],779,1906.556492021966
細[さい],780,1906.642976973400
況[きょう],781,1908.230648481815
怒[おこ],782,1909.862531825775
驚[おどろ],783,1913.446631316064
選[えら],784,1918.375434700025
所[じょ],785,1918.681864050632
絵[え],786,1923.748880661336
働[はたら],787,1925.197968704988
率[りつ],788,1925.616596059193
急[いそ],789,1925.802941332589
端[たん],790,1931.562101644246
消[き],791,1940.974873173024
都[と],792,1945.186418935366
園[えん],793,1946.616804412786
攻[こう],794,1950.304040439997
勘[かん],795,1950.868300405032
昨日[きのう],796,1956.945823661528
貸[か],797,1957.505452649879
闘[とう],798,1959.170188053991
駆[か],799,1960.388540391536
費[ひ],800,1960.490648770073
冷[れい],801,1961.695298119521
色[しょく],802,1964.790383506830
折[お],803,1968.813514151773
母[かあ],804,1977.147714773324
温[おん],805,1977.816137691476
刻[こく],806,1977.955185648533
張[ちょう],807,1985.032391585194
走[そう],808,1985.608246654397
昼[ひる],809,1987.007327389560
減[げん],810,1987.665442664476
示[じ],811,1989.867871217278
右[みぎ],812,1991.912104244806
快[かい],813,1994.565128623675
絶[ぜつ],814,1994.656440250884
直[じき],815,1998.968841528229
足[そく],816,1999.423028701404
１[ひと],817,2001.774448145128
算[さん],818,2003.533398637955
割[わり],819,2005.607751425754
補[ほ],820,2005.968274101638
御[お],821,2013.705028029735
等[とう],822,2014.159477111843
我[が],823,2016.417793008504
筋[すじ],824,2017.214067884303
判[はん],825,2018.288883274907
船[せん],826,2018.731288340827
消[け],827,2019.365844305122
抗[こう],828,2019.643512688867
剣[けん],829,2026.189982846444
住[じゅう],830,2026.946167099039
研[けん],831,2027.360202647185
句[く],832,2027.460584596945
我[われ],833,2028.034003694504
存[そん],834,2031.222017135303
条[じょう],835,2036.911759015876
境[きょう],836,2036.989137837600
果[は],837,2042.901320146123
四[し],838,2047.844364518195
落[らく],839,2052.876566596395
２[に],840,2054.121262713685
弾[だん],841,2066.737385002184
外[はず],842,2067.468325611523
投[な],843,2070.283350421536
手伝[てつだ],844,2074.145086721939
究[きゅう],845,2075.660488023763
恥[は],846,2075.844517024211
声[せい],847,2076.467910526296
規[き],848,2077.468663375646
通[どお],849,2079.191217385408
映[えい],850,2079.389439444168
去[さ],851,2079.506791683917
囲[い],852,2084.230221626296
虫[むし],853,2086.161604917919
録[ろく],854,2091.878472422653
妙[みょう],855,2093.308642762403
発[ぱつ],856,2093.382295807344
棒[ぼう],857,2099.061650207439
迎[むか],858,2102.595127428269
優[やさ],859,2103.602386814928
画[かく],860,2104.128206136746
印[いん],861,2105.072656117306
争[そう],862,2109.288451539476
内[うち],863,2114.619507187369
将[しょう],864,2120.777111583961
返[へん],865,2121.546877749875
純[じゅん],866,2125.812618644172
伸[の],867,2127.363024771862
母[はは],868,2129.124663194943
欲[よく],869,2130.579350775603
設[せつ],870,2132.259157957065
郎[ろう],871,2137.224032301953
続[ぞく],872,2137.991705405479
程[てい],873,2138.445280710717
良[い],874,2143.979218833205
銀[ぎん],875,2146.968929322497
二人[ふたり],876,2151.086790524929
穴[あな],877,2152.214683254232
修[しゅう],878,2153.265371252624
謝[しゃ],879,2153.780695323012
石[いし],880,2155.365594247278
済[す],881,2156.878097986587
必[かなら],882,2165.226967882170
養[よう],883,2168.760417656441
夕[ゆう],884,2169.994622353421
面[おも],885,2172.122596569366
月[つき],886,2173.440589055616
幸[しあわ],887,2181.185690576804
構[かま],888,2182.734854211475
儀[ぎ],889,2187.104215104261
整[せい],890,2187.989821436047
給[きゅう],891,2192.025434907810
暮[く],892,2192.706040626716
調[しら],893,2193.273201822125
締[し],894,2194.960423016993
周[しゅう],895,2199.637342032737
型[がた],896,2200.413029507281
統[とう],897,2200.533866824384
取[とり],898,2201.693732950910
父[ちち],899,2201.998709217341
援[えん],900,2205.752625301853
影[えい],901,2206.677139997904
少[すく],902,2208.003227112447
舞[ま],903,2211.888319079708
月[がつ],904,2216.877599070581
家[け],905,2220.594522265194
遺[い],906,2221.701935631880
下[お],907,2233.700858204386
領[りょう],908,2233.872071571222
史[し],909,2242.398523784901
静[しず],910,2249.812866408414
騒[さわ],911,2256.277557816174
座[すわ],912,2256.497631427258
安[やす],913,2257.560687530018
復[ふく],914,2265.075218668540
値[ち],915,2266.769017989646
始[し],916,2274.575035884936
極[きょく],917,2285.023639049585
導[どう],918,2285.149394063298
後[うし],919,2286.300866467413
腰[こし],920,2287.987019098321
緊[きん],921,2288.101827440503
因[いん],922,2289.995175067201
尽[つ],923,2292.676930803826
